title,lc,author,lc_class
Blood Meridian: Or the Evening Redness in the West,PS3563.C337 B4,Cormac McCarthy,PS
No Country for Old Men,PS3563.C337 N6,Cormac McCarthy,PS
True Grit: A Novel,PS3566.O663 T78,Charles Portis,PS
Cat's Cradle: A Novel,PS3572.O5 C3,Kurt Vonnegut,PS
Infinite Jest,PS3573.A425635 I54,David Foster Wallace,PS
Hooking Up,PS3573.O526 H66,Tom Wolfe,PS
All the Light We Cannot See: A Novel,PS3604.O34 A77,Anthony Doerr,PS
A Naked Singularity: A Novel,PS3616.A9545 N35,Sergio de la Pava,PS
"NOMBRE DEL VIENTO, EL",PS3618.O8685 N36,Patrick Rothfuss,PS
The Name of the Wind,PS3618.O8685 N36,Patrick Rothfuss,PS
El Temor De Un Hombre Sabio,PS3618.O8685 W57,Patrick Rothfuss,PS
The Last Painting of Sara de Vos: A Novel,PS3619.M5815,Dominic Smith,PS
Cherry: A novel,PS3623.A359552 C54,Nico Walker,PS
Franz Kafka: The Complete Stories,PT2621.A26 A2,Franz Kafka,PT
The Trial,PT2621.A26 P713,Franz Kafka,PT
All Quiet on the Western Front: A Novel,PT2635.E68,Erich Maria Remarque,PT
Independent People,PT7511.L3 S52313,Halldor Laxness,PT
